epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2348.41,0.42902,0.97831,0.97371,0.8967,0.82947,0.9338,0.88056,0.36211,0.62572,0.92755,0.000139908,0.000139908,0.000139908
43,2403.55,0.45046,1.00691,0.99223,0.91191,0.86155,0.94528,0.89321,0.365,0.59909,0.91576,0.000135198,0.000135198,0.000135198
44,2454.76,0.44052,0.9937,0.97518,0.92208,0.84876,0.94796,0.89716,0.38124,0.63214,0.92218,0.000130488,0.000130488,0.000130488
45,2504.79,0.436,0.97807,0.97765,0.93072,0.87365,0.94732,0.90104,0.37112,0.56503,0.91354,0.000125779,0.000125779,0.000125779
46,2552.9,0.43901,0.94428,0.97644,0.85069,0.92643,0.95315,0.89762,0.37905,0.54691,0.90815,0.000121069,0.000121069,0.000121069
47,2605.64,0.41738,0.92997,0.95804,0.92492,0.8774,0.94525,0.89097,0.37015,0.53489,0.91635,0.00011636,0.00011636,0.00011636
48,2656.53,0.42553,0.94776,0.97927,0.87393,0.88342,0.94205,0.89341,0.37023,0.60759,0.91558,0.00011165,0.00011165,0.00011165
49,2707.65,0.41905,0.93343,0.96935,0.87671,0.87693,0.95019,0.89861,0.36755,0.60339,0.91381,0.000106941,0.000106941,0.000106941
50,2759.68,0.41883,0.92997,0.97137,0.86438,0.85512,0.93673,0.88423,0.36654,0.62346,0.90784,0.000102231,0.000102231,0.000102231
51,2811.02,0.40957,0.92243,0.96738,0.89018,0.83878,0.94143,0.89343,0.3633,0.65934,0.9133,9.75214e-05,9.75214e-05,9.75214e-05
52,2860.16,0.43315,0.93473,0.97481,0.89836,0.87633,0.94604,0.89876,0.36768,0.60391,0.91882,9.28119e-05,9.28119e-05,9.28119e-05
53,2912.18,0.42462,0.88177,0.96874,0.91621,0.87487,0.95458,0.90028,0.36423,0.55564,0.91337,8.81023e-05,8.81023e-05,8.81023e-05
54,2956,0.43834,0.85801,0.97864,0.89259,0.88182,0.94733,0.89856,0.37127,0.58442,0.91711,8.33927e-05,8.33927e-05,8.33927e-05
55,3001.72,0.40993,0.85043,0.96367,0.91082,0.86319,0.94973,0.90702,0.35281,0.56937,0.89947,7.86831e-05,7.86831e-05,7.86831e-05
56,3045.18,0.41532,0.84646,0.95472,0.93063,0.83552,0.94715,0.89494,0.35458,0.57031,0.89931,7.39736e-05,7.39736e-05,7.39736e-05
